home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,day,n_people_infected,n_clinicians_infected,n_patients_infected,n_family_infected,n_contacts
True,True,0.1,2,54,1390,2,455,933,998460
True,True,0.1,2,55,1390,2,455,933,1016950
True,True,0.1,2,56,1390,2,455,933,1035440
True,True,0.1,2,57,1390,2,455,933,1053930
True,True,0.1,2,58,1390,2,455,933,1072420
True,True,0.1,2,59,1390,2,455,933,1090910
True,True,0.1,2,60,1390,2,455,933,1109400
True,True,0.1,3,1,924,1,300,623,18490
True,True,0.1,3,2,924,1,300,623,36980
True,True,0.1,3,3,924,1,300,623,55470
True,True,0.1,3,4,924,1,300,623,73960
True,True,0.1,3,5,980,1,316,663,92450
True,True,0.1,3,6,1047,2,333,712,110940
True,True,0.1,3,7,1086,2,345,739,129430
True,True,0.1,3,8,1135,2,367,766,147920
True,True,0.1,3,9,1180,2,383,795,166410
True,True,0.1,3,10,1231,2,397,832,184900
True,True,0.1,3,11,1286,2,422,862,203390
True,True,0.1,3,12,1290,2,425,863,221880
True,True,0.1,3,13,1295,2,425,868,240370
True,True,0.1,3,14,1305,2,427,876,258860
True,True,0.1,3,15,1315,2,431,882,277350
True,True,0.1,3,16,1322,2,433,887,295840
True,True,0.1,3,17,1333,2,437,894,314330
True,True,0.1,3,18,1335,2,438,895,332820
True,True,0.1,3,19,1337,2,439,896,351310
True,True,0.1,3,20,1341,2,442,897,369800
True,True,0.1,3,21,1341,2,442,897,388290
True,True,0.1,3,22,1344,2,443,899,406780
True,True,0.1,3,23,1344,2,443,899,425270
True,True,0.1,3,24,1344,2,443,899,443760
True,True,0.1,3,25,1344,2,443,899,462250
True,True,0.1,3,26,1344,2,443,899,480740
True,True,0.1,3,27,1344,2,443,899,499230
True,True,0.1,3,28,1344,2,443,899,517720
True,True,0.1,3,29,1344,2,443,899,536210
True,True,0.1,3,30,1344,2,443,899,554700
True,True,0.1,3,31,1344,2,443,899,573190
True,True,0.1,3,32,1344,2,443,899,591680
True,True,0.1,3,33,1344,2,443,899,610170
True,True,0.1,3,34,1344,2,443,899,628660
True,True,0.1,3,35,1344,2,443,899,647150
True,True,0.1,3,36,1344,2,443,899,665640
True,True,0.1,3,37,1344,2,443,899,684130
True,True,0.1,3,38,1344,2,443,899,702620
True,True,0.1,3,39,1344,2,443,899,721110
True,True,0.1,3,40,1344,2,443,899,739600
True,True,0.1,3,41,1344,2,443,899,758090
True,True,0.1,3,42,1344,2,443,899,776580
True,True,0.1,3,43,1344,2,443,899,795070
True,True,0.1,3,44,1344,2,443,899,813560
True,True,0.1,3,45,1344,2,443,899,832050
True,True,0.1,3,46,1344,2,443,899,850540
True,True,0.1,3,47,1344,2,443,899,869030
True,True,0.1,3,48,1344,2,443,899,887520
True,True,0.1,3,49,1344,2,443,899,906010
True,True,0.1,3,50,1344,2,443,899,924500
True,True,0.1,3,51,1344,2,443,899,942990
True,True,0.1,3,52,1344,2,443,899,961480
True,True,0.1,3,53,1344,2,443,899,979970
True,True,0.1,3,54,1344,2,443,899,998460
True,True,0.1,3,55,1344,2,443,899,1016950
True,True,0.1,3,56,1344,2,443,899,1035440
True,True,0.1,3,57,1344,2,443,899,1053930
True,True,0.1,3,58,1344,2,443,899,1072420
True,True,0.1,3,59,1344,2,443,899,1090910
True,True,0.1,3,60,1344,2,443,899,1109400
True,True,0.1,4,1,846,1,256,589,18490
True,True,0.1,4,2,846,1,256,589,36980
True,True,0.1,4,3,846,1,256,589,55470
True,True,0.1,4,4,846,1,256,589,73960
True,True,0.1,4,5,899,1,277,621,92450
True,True,0.1,4,6,953,1,299,653,110940
True,True,0.1,4,7,1004,1,312,691,129430
True,True,0.1,4,8,1055,1,331,723,147920
True,True,0.1,4,9,1106,1,350,755,166410
True,True,0.1,4,10,1152,2,367,783,184900
True,True,0.1,4,11,1198,2,385,811,203390
True,True,0.1,4,12,1199,2,385,812,221880
True,True,0.1,4,13,1203,2,387,814,240370
True,True,0.1,4,14,1211,2,390,819,258860
True,True,0.1,4,15,1220,3,390,827,277350
True,True,0.1,4,16,1226,3,392,831,295840
True,True,0.1,4,17,1231,3,393,835,314330
True,True,0.1,4,18,1233,4,393,836,332820
True,True,0.1,4,19,1239,4,394,841,351310
True,True,0.1,4,20,1242,4,395,843,369800
True,True,0.1,4,21,1244,4,397,843,388290
True,True,0.1,4,22,1246,4,398,844,406780
True,True,0.1,4,23,1246,4,398,844,425270
True,True,0.1,4,24,1246,4,398,844,443760
True,True,0.1,4,25,1246,4,398,844,462250
True,True,0.1,4,26,1246,4,398,844,480740
True,True,0.1,4,27,1246,4,398,844,499230
True,True,0.1,4,28,1248,5,398,845,517720
True,True,0.1,4,29,1248,5,398,845,536210
True,True,0.1,4,30,1248,5,398,845,554700
True,True,0.1,4,31,1248,5,398,845,573190
True,True,0.1,4,32,1248,5,398,845,591680
True,True,0.1,4,33,1248,5,398,845,610170
True,True,0.1,4,34,1248,5,398,845,628660
True,True,0.1,4,35,1248,5,398,845,647150
True,True,0.1,4,36,1248,5,398,845,665640
True,True,0.1,4,37,1249,6,398,845,684130
True,True,0.1,4,38,1249,6,398,845,702620
True,True,0.1,4,39,1249,6,398,845,721110
True,True,0.1,4,40,1249,6,398,845,739600
True,True,0.1,4,41,1249,6,398,845,758090
True,True,0.1,4,42,1249,6,398,845,776580
True,True,0.1,4,43,1249,6,398,845,795070
True,True,0.1,4,44,1249,6,398,845,813560
True,True,0.1,4,45,1249,6,398,845,832050
True,True,0.1,4,46,1250,7,398,845,850540
True,True,0.1,4,47,1250,7,398,845,869030
True,True,0.1,4,48,1250,7,398,845,887520
True,True,0.1,4,49,1250,7,398,845,906010
True,True,0.1,4,50,1250,7,398,845,924500
True,True,0.1,4,51,1250,7,398,845,942990
True,True,0.1,4,52,1250,7,398,845,961480
True,True,0.1,4,53,1250,7,398,845,979970
True,True,0.1,4,54,1250,7,398,845,998460
True,True,0.1,4,55,1250,7,398,845,1016950
True,True,0.1,4,56,1250,7,398,845,1035440
True,True,0.1,4,57,1250,7,398,845,1053930
True,True,0.1,4,58,1250,7,398,845,1072420
True,True,0.1,4,59,1250,7,398,845,1090910
True,True,0.1,4,60,1250,7,398,845,1109400
True,True,0.1,5,1,917,0,344,573,18490
True,True,0.1,5,2,917,0,344,573,36980
True,True,0.1,5,3,917,0,344,573,55470
True,True,0.1,5,4,917,0,344,573,73960
True,True,0.1,5,5,971,0,361,610,92450
True,True,0.1,5,6,1035,0,382,653,110940
True,True,0.1,5,7,1089,0,404,685,129430
True,True,0.1,5,8,1141,0,425,716,147920
True,True,0.1,5,9,1195,0,446,749,166410
True,True,0.1,5,10,1256,0,466,790,184900
True,True,0.1,5,11,1309,0,479,830,203390
True,True,0.1,5,12,1315,0,483,832,221880
True,True,0.1,5,13,1321,0,484,837,240370
True,True,0.1,5,14,1329,0,485,844,258860
True,True,0.1,5,15,1343,0,490,853,277350
True,True,0.1,5,16,1349,0,493,856,295840
True,True,0.1,5,17,1361,0,496,865,314330
True,True,0.1,5,18,1366,0,498,868,332820
True,True,0.1,5,19,1371,0,498,873,351310
True,True,0.1,5,20,1375,0,499,876,369800
True,True,0.1,5,21,1377,0,501,876,388290
True,True,0.1,5,22,1377,0,501,876,406780
True,True,0.1,5,23,1377,0,501,876,425270
True,True,0.1,5,24,1377,0,501,876,443760
True,True,0.1,5,25,1377,0,501,876,462250
True,True,0.1,5,26,1377,0,501,876,480740
True,True,0.1,5,27,1377,0,501,876,499230
True,True,0.1,5,28,1377,0,501,876,517720
True,True,0.1,5,29,1377,0,501,876,536210
True,True,0.1,5,30,1377,0,501,876,554700
True,True,0.1,5,31,1377,0,501,876,573190
True,True,0.1,5,32,1377,0,501,876,591680
True,True,0.1,5,33,1377,0,501,876,610170
True,True,0.1,5,34,1377,0,501,876,628660
True,True,0.1,5,35,1377,0,501,876,647150
True,True,0.1,5,36,1377,0,501,876,665640
True,True,0.1,5,37,1377,0,501,876,684130
True,True,0.1,5,38,1377,0,501,876,702620
True,True,0.1,5,39,1377,0,501,876,721110
True,True,0.1,5,40,1377,0,501,876,739600
True,True,0.1,5,41,1377,0,501,876,758090
True,True,0.1,5,42,1377,0,501,876,776580
True,True,0.1,5,43,1377,0,501,876,795070
True,True,0.1,5,44,1377,0,501,876,813560
True,True,0.1,5,45,1377,0,501,876,832050
True,True,0.1,5,46,1377,0,501,876,850540
True,True,0.1,5,47,1377,0,501,876,869030
True,True,0.1,5,48,1377,0,501,876,887520
True,True,0.1,5,49,1377,0,501,876,906010
True,True,0.1,5,50,1377,0,501,876,924500
True,True,0.1,5,51,1377,0,501,876,942990
True,True,0.1,5,52,1377,0,501,876,961480
