home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts
True,True,1.0,30,6000,441,20,1,12000,911,18020,1353,1109400
True,True,1.0,31,6000,408,20,0,12000,888,18020,1296,1109400
True,True,1.0,32,6000,435,20,6,12000,857,18020,1298,1109400
True,True,1.0,33,6000,479,20,0,12000,954,18020,1433,1109400
True,True,1.0,34,6000,474,20,4,12000,899,18020,1377,1109400
True,True,1.0,35,6000,405,20,4,12000,855,18020,1264,1109400
True,True,1.0,36,6000,459,20,1,12000,898,18020,1358,1109400
True,True,1.0,37,6000,469,20,1,12000,892,18020,1362,1109400
True,True,1.0,38,6000,431,20,3,12000,855,18020,1289,1109400
True,True,1.0,39,6000,435,20,2,12000,855,18020,1292,1109400
True,True,1.0,40,6000,438,20,0,12000,909,18020,1347,1109400
True,True,1.0,41,6000,447,20,0,12000,898,18020,1345,1109400
True,True,1.0,42,6000,425,20,5,12000,864,18020,1294,1109400
True,True,1.0,43,6000,457,20,1,12000,898,18020,1356,1109400
True,True,1.0,44,6000,446,20,2,12000,873,18020,1321,1109400
True,True,1.0,45,6000,453,20,4,12000,874,18020,1331,1109400
True,True,1.0,46,6000,440,20,1,12000,897,18020,1338,1109400
True,True,1.0,47,6000,448,20,4,12000,883,18020,1335,1109400
True,True,1.0,48,6000,411,20,3,12000,822,18020,1236,1109400
True,True,1.0,49,6000,459,20,0,12000,903,18020,1362,1109400
True,True,1.0,50,6000,454,20,2,12000,863,18020,1319,1109400
True,False,0.1,1,6000,459,20,2,12000,826,18020,1287,1098000
True,False,0.1,2,6000,438,20,0,12000,865,18020,1303,1098000
True,False,0.1,3,6000,426,20,1,12000,825,18020,1252,1098000
True,False,0.1,4,6000,408,20,1,12000,869,18020,1278,1098000
True,False,0.1,5,6000,445,20,0,12000,859,18020,1304,1098000
True,False,0.1,6,6000,437,20,1,12000,874,18020,1312,1098000
True,False,0.1,7,6000,431,20,3,12000,892,18020,1326,1098000
True,False,0.1,8,6000,448,20,1,12000,870,18020,1319,1098000
True,False,0.1,9,6000,396,20,0,12000,793,18020,1189,1098000
True,False,0.1,10,6000,425,20,2,12000,835,18020,1262,1098000
True,False,0.1,11,6000,450,20,1,12000,928,18020,1379,1098000
True,False,0.1,12,6000,444,20,1,12000,917,18020,1362,1098000
True,False,0.1,13,6000,408,20,1,12000,804,18020,1213,1098000
True,False,0.1,14,6000,449,20,1,12000,854,18020,1304,1098000
True,False,0.1,15,6000,421,20,1,12000,882,18020,1304,1098000
True,False,0.1,16,6000,451,20,3,12000,886,18020,1340,1098000
True,False,0.1,17,6000,448,20,1,12000,848,18020,1297,1098000
True,False,0.1,18,6000,449,20,1,12000,884,18020,1334,1098000
True,False,0.1,19,6000,450,20,0,12000,884,18020,1334,1098000
True,False,0.1,20,6000,431,20,0,12000,930,18020,1361,1098000
True,False,0.1,21,6000,452,20,2,12000,901,18020,1355,1098000
True,False,0.1,22,6000,406,20,1,12000,875,18020,1282,1098000
True,False,0.1,23,6000,415,20,0,12000,826,18020,1241,1098000
True,False,0.1,24,6000,420,20,1,12000,823,18020,1244,1098000
True,False,0.1,25,6000,469,20,2,12000,854,18020,1325,1098000
True,False,0.1,26,6000,454,20,2,12000,901,18020,1357,1098000
True,False,0.1,27,6000,467,20,3,12000,893,18020,1363,1098000
True,False,0.1,28,6000,420,20,2,12000,889,18020,1311,1098000
True,False,0.1,29,6000,416,20,2,12000,900,18020,1318,1098000
True,False,0.1,30,6000,456,20,2,12000,903,18020,1361,1098000
True,False,0.1,31,6000,433,20,0,12000,885,18020,1318,1098000
True,False,0.1,32,6000,425,20,0,12000,851,18020,1276,1098000
True,False,0.1,33,6000,417,20,2,12000,852,18020,1271,1098000
True,False,0.1,34,6000,464,20,2,12000,902,18020,1368,1098000
True,False,0.1,35,6000,435,20,1,12000,906,18020,1342,1098000
True,False,0.1,36,6000,435,20,2,12000,827,18020,1264,1098000
True,False,0.1,37,6000,412,20,0,12000,905,18020,1317,1098000
True,False,0.1,38,6000,432,20,2,12000,853,18020,1287,1098000
True,False,0.1,39,6000,420,20,1,12000,845,18020,1266,1098000
True,False,0.1,40,6000,450,20,1,12000,886,18020,1337,1098000
True,False,0.1,41,6000,420,20,1,12000,863,18020,1284,1098000
True,False,0.1,42,6000,419,20,1,12000,807,18020,1227,1098000
True,False,0.1,43,6000,428,20,0,12000,855,18020,1283,1098000
True,False,0.1,44,6000,447,20,1,12000,890,18020,1338,1098000
True,False,0.1,45,6000,455,20,2,12000,823,18020,1280,1098000
True,False,0.1,46,6000,430,20,2,12000,864,18020,1296,1098000
True,False,0.1,47,6000,468,20,0,12000,895,18020,1363,1098000
True,False,0.1,48,6000,455,20,1,12000,915,18020,1371,1098000
True,False,0.1,49,6000,464,20,4,12000,881,18020,1349,1098000
True,False,0.1,50,6000,449,20,2,12000,859,18020,1310,1098000
True,False,1.0,1,6000,427,20,2,12000,827,18020,1256,1098000
True,False,1.0,2,6000,432,20,2,12000,873,18020,1307,1098000
True,False,1.0,3,6000,453,20,0,12000,865,18020,1318,1098000
True,False,1.0,4,6000,412,20,2,12000,835,18020,1249,1098000
True,False,1.0,5,6000,441,20,1,12000,847,18020,1289,1098000
True,False,1.0,6,6000,459,20,1,12000,908,18020,1368,1098000
True,False,1.0,7,6000,414,20,1,12000,822,18020,1237,1098000
True,False,1.0,8,6000,429,20,3,12000,838,18020,1270,1098000
True,False,1.0,9,6000,470,20,1,12000,916,18020,1387,1098000
True,False,1.0,10,6000,443,20,2,12000,870,18020,1315,1098000
True,False,1.0,11,6000,441,20,0,12000,862,18020,1303,1098000
True,False,1.0,12,6000,408,20,2,12000,887,18020,1297,1098000
True,False,1.0,13,6000,442,20,0,12000,816,18020,1258,1098000
True,False,1.0,14,6000,427,20,2,12000,927,18020,1356,1098000
True,False,1.0,15,6000,401,20,2,12000,844,18020,1247,1098000
True,False,1.0,16,6000,458,20,1,12000,934,18020,1393,1098000
True,False,1.0,17,6000,478,20,0,12000,905,18020,1383,1098000
True,False,1.0,18,6000,458,20,2,12000,864,18020,1324,1098000
True,False,1.0,19,6000,476,20,0,12000,911,18020,1387,1098000
True,False,1.0,20,6000,409,20,0,12000,904,18020,1313,1098000
True,False,1.0,21,6000,416,20,1,12000,847,18020,1264,1098000
True,False,1.0,22,6000,450,20,0,12000,908,18020,1358,1098000
True,False,1.0,23,6000,441,20,4,12000,853,18020,1298,1098000
True,False,1.0,24,6000,453,20,2,12000,869,18020,1324,1098000
True,False,1.0,25,6000,453,20,1,12000,884,18020,1338,1098000
True,False,1.0,26,6000,441,20,1,12000,878,18020,1320,1098000
True,False,1.0,27,6000,442,20,3,12000,906,18020,1351,1098000
True,False,1.0,28,6000,447,20,1,12000,849,18020,1297,1098000
True,False,1.0,29,6000,455,20,3,12000,950,18020,1408,1098000
True,False,1.0,30,6000,433,20,1,12000,869,18020,1303,1098000
True,False,1.0,31,6000,417,20,1,12000,857,18020,1275,1098000
True,False,1.0,32,6000,433,20,1,12000,895,18020,1329,1098000
True,False,1.0,33,6000,469,20,0,12000,894,18020,1363,1098000
True,False,1.0,34,6000,457,20,0,12000,902,18020,1359,1098000
True,False,1.0,35,6000,424,20,1,12000,838,18020,1263,1098000
True,False,1.0,36,6000,522,20,2,12000,909,18020,1433,1098000
True,False,1.0,37,6000,439,20,1,12000,908,18020,1348,1098000
True,False,1.0,38,6000,468,20,1,12000,896,18020,1365,1098000
True,False,1.0,39,6000,465,20,2,12000,941,18020,1408,1098000
True,False,1.0,40,6000,435,20,2,12000,870,18020,1307,1098000
True,False,1.0,41,6000,436,20,0,12000,870,18020,1306,1098000
True,False,1.0,42,6000,466,20,2,12000,932,18020,1400,1098000
True,False,1.0,43,6000,436,20,1,12000,834,18020,1271,1098000
True,False,1.0,44,6000,449,20,3,12000,903,18020,1355,1098000
True,False,1.0,45,6000,421,20,2,12000,861,18020,1284,1098000
True,False,1.0,46,6000,420,20,0,12000,863,18020,1283,1098000
True,False,1.0,47,6000,443,20,1,12000,892,18020,1336,1098000
True,False,1.0,48,6000,437,20,2,12000,843,18020,1282,1098000
True,False,1.0,49,6000,460,20,1,12000,845,18020,1306,1098000
True,False,1.0,50,6000,436,20,1,12000,865,18020,1302,1098000
False,True,0.1,1,6000,437,20,1,12000,894,18020,1332,1097400
False,True,0.1,2,6000,427,20,0,12000,848,18020,1275,1097400
False,True,0.1,3,6000,448,20,2,12000,858,18020,1308,1097400
False,True,0.1,4,6000,460,20,5,12000,891,18020,1356,1097400
False,True,0.1,5,6000,454,20,5,12000,848,18020,1307,1097400
False,True,0.1,6,6000,422,20,4,12000,852,18020,1278,1097400
False,True,0.1,7,6000,442,20,6,12000,839,18020,1287,1097400
False,True,0.1,8,6000,443,20,0,12000,861,18020,1304,1097400
False,True,0.1,9,6000,411,20,1,12000,865,18020,1277,1097400
False,True,0.1,10,6000,437,20,5,12000,843,18020,1285,1097400
False,True,0.1,11,6000,426,20,0,12000,867,18020,1293,1097400
False,True,0.1,12,6000,442,20,0,12000,878,18020,1320,1097400
False,True,0.1,13,6000,473,20,4,12000,918,18020,1395,1097400
False,True,0.1,14,6000,433,20,8,12000,864,18020,1305,1097400
False,True,0.1,15,6000,423,20,0,12000,893,18020,1316,1097400
False,True,0.1,16,6000,421,20,0,12000,851,18020,1272,1097400
False,True,0.1,17,6000,429,20,3,12000,879,18020,1311,1097400
False,True,0.1,18,6000,420,20,7,12000,895,18020,1322,1097400
False,True,0.1,19,6000,440,20,0,12000,871,18020,1311,1097400
False,True,0.1,20,6000,453,20,1,12000,894,18020,1348,1097400
False,True,0.1,21,6000,454,20,1,12000,912,18020,1367,1097400
False,True,0.1,22,6000,452,20,3,12000,913,18020,1368,1097400
False,True,0.1,23,6000,436,20,0,12000,854,18020,1290,1097400
False,True,0.1,24,6000,436,20,5,12000,882,18020,1323,1097400
False,True,0.1,25,6000,420,20,0,12000,928,18020,1348,1097400
False,True,0.1,26,6000,454,20,2,12000,851,18020,1307,1097400
False,True,0.1,27,6000,413,20,8,12000,865,18020,1286,1097400
False,True,0.1,28,6000,382,20,2,12000,809,18020,1193,1097400
False,True,0.1,29,6000,429,20,1,12000,896,18020,1326,1097400
False,True,0.1,30,6000,457,20,4,12000,855,18020,1316,1097400
False,True,0.1,31,6000,425,20,2,12000,905,18020,1332,1097400
False,True,0.1,32,6000,461,20,0,12000,898,18020,1359,1097400
False,True,0.1,33,6000,455,20,4,12000,891,18020,1350,1097400
False,True,0.1,34,6000,449,20,2,12000,905,18020,1356,1097400
False,True,0.1,35,6000,443,20,0,12000,854,18020,1297,1097400
False,True,0.1,36,6000,430,20,6,12000,826,18020,1262,1097400
False,True,0.1,37,6000,457,20,9,12000,853,18020,1319,1097400
False,True,0.1,38,6000,451,20,3,12000,910,18020,1364,1097400
False,True,0.1,39,6000,415,20,2,12000,802,18020,1219,1097400
False,True,0.1,40,6000,456,20,1,12000,885,18020,1342,1097400
False,True,0.1,41,6000,422,20,4,12000,897,18020,1323,1097400
False,True,0.1,42,6000,460,20,5,12000,922,18020,1387,1097400
False,True,0.1,43,6000,375,20,2,12000,822,18020,1199,1097400
False,True,0.1,44,6000,465,20,0,12000,885,18020,1350,1097400
False,True,0.1,45,6000,449,20,1,12000,868,18020,1318,1097400
False,True,0.1,46,6000,432,20,1,12000,908,18020,1341,1097400
False,True,0.1,47,6000,440,20,1,12000,871,18020,1312,1097400
False,True,0.1,48,6000,412,20,1,12000,853,18020,1266,1097400
False,True,0.1,49,6000,409,20,0,12000,843,18020,1252,1097400
False,True,0.1,50,6000,475,20,3,12000,912,18020,1390,1097400
False,True,1.0,1,6000,440,20,8,12000,921,18020,1369,1097400
False,True,1.0,2,6000,435,20,5,12000,880,18020,1320,1097400
False,True,1.0,3,6000,431,20,2,12000,820,18020,1253,1097400
False,True,1.0,4,6000,400,20,2,12000,871,18020,1273,1097400
False,True,1.0,5,6000,438,20,2,12000,883,18020,1323,1097400
False,True,1.0,6,6000,451,20,1,12000,893,18020,1345,1097400
False,True,1.0,7,6000,414,20,1,12000,891,18020,1306,1097400
False,True,1.0,8,6000,432,20,0,12000,807,18020,1239,1097400
False,True,1.0,9,6000,442,20,3,12000,849,18020,1294,1097400
False,True,1.0,10,6000,442,20,1,12000,876,18020,1319,1097400
False,True,1.0,11,6000,422,20,0,12000,818,18020,1240,1097400
False,True,1.0,12,6000,445,20,2,12000,910,18020,1357,1097400
False,True,1.0,13,6000,467,20,2,12000,908,18020,1377,1097400
False,True,1.0,14,6000,461,20,4,12000,892,18020,1357,1097400
False,True,1.0,15,6000,420,20,3,12000,836,18020,1259,1097400
False,True,1.0,16,6000,429,20,4,12000,914,18020,1347,1097400
False,True,1.0,17,6000,449,20,7,12000,891,18020,1347,1097400
False,True,1.0,18,6000,440,20,2,12000,872,18020,1314,1097400
False,True,1.0,19,6000,457,20,5,12000,895,18020,1357,1097400
False,True,1.0,20,6000,458,20,0,12000,832,18020,1290,1097400
False,True,1.0,21,6000,464,20,2,12000,909,18020,1375,1097400
False,True,1.0,22,6000,463,20,0,12000,875,18020,1338,1097400
False,True,1.0,23,6000,451,20,3,12000,913,18020,1367,1097400
False,True,1.0,24,6000,430,20,3,12000,828,18020,1261,1097400
False,True,1.0,25,6000,486,20,1,12000,914,18020,1401,1097400
False,True,1.0,26,6000,418,20,6,12000,839,18020,1263,1097400
False,True,1.0,27,6000,481,20,0,12000,938,18020,1419,1097400
False,True,1.0,28,6000,447,20,1,12000,852,18020,1300,1097400
False,True,1.0,29,6000,423,20,0,12000,838,18020,1261,1097400
False,True,1.0,30,6000,422,20,2,12000,867,18020,1291,1097400
False,True,1.0,31,6000,465,20,1,12000,870,18020,1336,1097400
False,True,1.0,32,6000,440,20,3,12000,835,18020,1278,1097400
False,True,1.0,33,6000,447,20,0,12000,867,18020,1314,1097400
False,True,1.0,34,6000,443,20,1,12000,894,18020,1338,1097400
False,True,1.0,35,6000,448,20,3,12000,827,18020,1278,1097400
False,True,1.0,36,6000,421,20,1,12000,835,18020,1257,1097400
False,True,1.0,37,6000,457,20,3,12000,901,18020,1361,1097400
False,True,1.0,38,6000,444,20,3,12000,847,18020,1294,1097400
False,True,1.0,39,6000,435,20,9,12000,850,18020,1294,1097400
False,True,1.0,40,6000,456,20,8,12000,920,18020,1384,1097400
False,True,1.0,41,6000,463,20,6,12000,900,18020,1369,1097400
False,True,1.0,42,6000,415,20,2,12000,905,18020,1322,1097400
False,True,1.0,43,6000,443,20,1,12000,906,18020,1350,1097400
False,True,1.0,44,6000,475,20,1,12000,911,18020,1387,1097400
False,True,1.0,45,6000,473,20,0,12000,885,18020,1358,1097400
False,True,1.0,46,6000,478,20,0,12000,932,18020,1410,1097400
False,True,1.0,47,6000,456,20,0,12000,907,18020,1363,1097400
False,True,1.0,48,6000,431,20,3,12000,837,18020,1271,1097400
False,True,1.0,49,6000,432,20,7,12000,864,18020,1303,1097400
False,True,1.0,50,6000,442,20,9,12000,855,18020,1306,1097400
False,False,0.1,1,6000,449,20,0,12000,919,18020,1368,1086000
False,False,0.1,2,6000,436,20,1,12000,903,18020,1340,1086000
False,False,0.1,3,6000,449,20,2,12000,916,18020,1367,1086000
False,False,0.1,4,6000,452,20,1,12000,897,18020,1350,1086000
False,False,0.1,5,6000,431,20,0,12000,841,18020,1272,1086000
