home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,p_external_infection_per_day,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts
False,False,1.0,0.02,35,6000,4776,20,17,12000,9648,18020,14441,1086000
True,True,0.1,0.0,36,6000,425,20,5,12000,893,18020,1323,1109400
True,True,0.1,0.02,36,6000,4713,20,17,12000,9525,18020,14255,1109400
True,True,1.0,0.0,36,6000,479,20,1,12000,919,18020,1399,1109400
True,True,1.0,0.02,36,6000,4762,20,17,12000,9507,18020,14286,1109400
True,False,0.1,0.0,36,6000,434,20,0,12000,835,18020,1269,1098000
True,False,0.1,0.02,36,6000,4820,20,15,12000,9619,18020,14454,1098000
True,False,1.0,0.0,36,6000,448,20,1,12000,872,18020,1321,1098000
True,False,1.0,0.02,36,6000,4764,20,14,12000,9556,18020,14334,1098000
False,True,0.1,0.0,36,6000,425,20,0,12000,855,18020,1280,1097400
False,True,0.1,0.02,36,6000,4816,20,17,12000,9548,18020,14381,1097400
False,True,1.0,0.0,36,6000,436,20,1,12000,818,18020,1255,1097400
False,True,1.0,0.02,36,6000,4814,20,15,12000,9562,18020,14391,1097400
False,False,0.1,0.0,36,6000,435,20,0,12000,943,18020,1378,1086000
False,False,0.1,0.02,36,6000,4761,20,17,12000,9487,18020,14265,1086000
False,False,1.0,0.0,36,6000,444,20,2,12000,868,18020,1314,1086000
False,False,1.0,0.02,36,6000,4787,20,13,12000,9642,18020,14442,1086000
True,True,0.1,0.0,37,6000,449,20,0,12000,864,18020,1313,1109400
True,True,0.1,0.02,37,6000,4800,20,16,12000,9560,18020,14376,1109400
True,True,1.0,0.0,37,6000,431,20,8,12000,847,18020,1286,1109400
True,True,1.0,0.02,37,6000,4776,20,17,12000,9518,18020,14311,1109400
True,False,0.1,0.0,37,6000,379,20,2,12000,866,18020,1247,1098000
True,False,0.1,0.02,37,6000,4739,20,17,12000,9493,18020,14249,1098000
True,False,1.0,0.0,37,6000,450,20,2,12000,859,18020,1311,1098000
True,False,1.0,0.02,37,6000,4764,20,15,12000,9595,18020,14374,1098000
False,True,0.1,0.0,37,6000,444,20,1,12000,862,18020,1307,1097400
False,True,0.1,0.02,37,6000,4795,20,18,12000,9585,18020,14398,1097400
False,True,1.0,0.0,37,6000,453,20,3,12000,864,18020,1320,1097400
False,True,1.0,0.02,37,6000,4787,20,19,12000,9601,18020,14407,1097400
False,False,0.1,0.0,37,6000,448,20,3,12000,891,18020,1342,1086000
False,False,0.1,0.02,37,6000,4761,20,12,12000,9551,18020,14324,1086000
False,False,1.0,0.0,37,6000,423,20,1,12000,839,18020,1263,1086000
False,False,1.0,0.02,37,6000,4818,20,16,12000,9540,18020,14374,1086000
True,True,0.1,0.0,38,6000,433,20,2,12000,846,18020,1281,1109400
True,True,0.1,0.02,38,6000,4785,20,18,12000,9492,18020,14295,1109400
True,True,1.0,0.0,38,6000,406,20,1,12000,845,18020,1252,1109400
True,True,1.0,0.02,38,6000,4777,20,17,12000,9526,18020,14320,1109400
True,False,0.1,0.0,38,6000,429,20,1,12000,869,18020,1299,1098000
True,False,0.1,0.02,38,6000,4794,20,18,12000,9517,18020,14329,1098000
True,False,1.0,0.0,38,6000,421,20,1,12000,859,18020,1281,1098000
True,False,1.0,0.02,38,6000,4833,20,17,12000,9471,18020,14321,1098000
False,True,0.1,0.0,38,6000,434,20,0,12000,896,18020,1330,1097400
False,True,0.1,0.02,38,6000,4812,20,17,12000,9631,18020,14460,1097400
False,True,1.0,0.0,38,6000,438,20,0,12000,897,18020,1335,1097400
False,True,1.0,0.02,38,6000,4770,20,14,12000,9574,18020,14358,1097400
