appointment_type,clinicians_meet_each_other,behavioural_infectivity_multiple_if_symptomatic,p_baseline_infected,p_external_infection_per_day,n_patients_per_household,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts,n_clinician_patient_contacts
home_visit,False,1.0,0.01,0.0,2,3,6000,308,20,1,8206,743,14226,1052,1863812,6000
home_visit,False,1.0,0.01,0.0,3,3,6000,778,20,1,8181,1383,14201,2162,2884143,6000
home_visit,False,1.0,0.01,0.0,4,3,6000,1607,20,1,8181,2724,14201,4332,3902244,6000
home_visit,False,1.0,0.01,0.0,5,3,6000,2808,20,1,8105,4596,14125,7405,4871845,6000
home_visit,False,1.0,0.01,0.0,6,3,6000,4414,20,1,8185,6946,14205,11361,5939310,6000
home_visit,False,1.0,0.01,0.0,7,3,6000,5037,20,5,8206,8051,14226,13094,6979978,6000
home_visit,False,1.0,0.01,0.0,8,3,6000,7156,20,2,8206,10616,14226,17774,8002868,6000
home_visit,False,1.0,0.01,0.0,9,3,6000,8408,20,4,8181,11857,14201,20269,9009438,6000
home_visit,False,1.0,0.01,0.0,10,3,6000,10649,20,4,8206,15434,14226,26087,10042780,6000
home_visit,True,1.0,0.01,0.0,1,4,6000,150,20,0,8181,310,14201,460,861201,6000
home_visit,True,1.0,0.01,0.0,2,4,6000,344,20,0,8206,751,14226,1095,1875212,6000
home_visit,True,1.0,0.01,0.0,3,4,6000,835,20,4,8206,1415,14226,2254,2902398,6000
home_visit,True,1.0,0.01,0.0,4,4,6000,1524,20,1,8163,2510,14183,4035,3919139,6000
home_visit,True,1.0,0.01,0.0,5,4,6000,2504,20,3,8206,3875,14226,6382,4937174,6000
home_visit,True,1.0,0.01,0.0,6,4,6000,3773,20,6,8185,5729,14205,9508,5950185,6000
home_visit,True,1.0,0.01,0.0,7,4,6000,5284,20,9,8185,7922,14205,13217,6961078,6000
home_visit,True,1.0,0.01,0.0,8,4,6000,7946,20,2,8185,11972,14205,19920,7991754,6000
home_visit,True,1.0,0.01,0.0,9,4,6000,7594,20,5,8137,11529,14157,19128,8961179,6000
home_visit,True,1.0,0.01,0.0,10,4,6000,10836,20,6,8185,15577,14205,26420,10035395,6000
home_visit,False,1.0,0.01,0.0,1,4,6000,134,20,0,8185,250,14205,384,846565,6000
home_visit,False,1.0,0.01,0.0,2,4,6000,326,20,0,8206,660,14226,986,1863812,6000
home_visit,False,1.0,0.01,0.0,3,4,6000,1015,20,1,8163,1862,14183,2878,2881809,6000
home_visit,False,1.0,0.01,0.0,4,4,6000,1557,20,2,8163,2743,14183,4302,3907872,6000
home_visit,False,1.0,0.01,0.0,5,4,6000,2723,20,0,8185,4278,14205,7001,4920005,6000
home_visit,False,1.0,0.01,0.0,6,4,6000,4070,20,2,8185,6198,14205,10271,5939310,6000
home_visit,False,1.0,0.01,0.0,7,4,6000,5089,20,3,8137,7791,14157,12883,6924115,6000
home_visit,False,1.0,0.01,0.0,8,4,6000,6704,20,7,8163,9976,14183,16688,7977324,6000
home_visit,False,1.0,0.01,0.0,9,4,6000,8313,20,2,8137,12328,14157,20643,8950299,6000
home_visit,False,1.0,0.01,0.0,10,4,6000,12075,20,5,8163,18566,14183,30646,10037250,6000
home_visit,True,1.0,0.01,0.0,1,5,6000,112,20,0,8163,224,14183,336,858363,6000
home_visit,True,1.0,0.01,0.0,2,5,6000,393,20,2,8315,744,14335,1139,1909677,6000
home_visit,True,1.0,0.01,0.0,3,5,6000,1058,20,1,8137,1925,14157,2984,2885438,6000
home_visit,True,1.0,0.01,0.0,4,5,6000,1536,20,3,8163,2555,14183,4094,3919139,6000
home_visit,True,1.0,0.01,0.0,5,5,6000,3148,20,1,8163,5089,14183,8238,4943702,6000
home_visit,True,1.0,0.01,0.0,6,5,6000,3529,20,5,8067,5324,14087,8858,5857808,6000
home_visit,True,1.0,0.01,0.0,7,5,6000,5463,20,2,8315,8627,14335,14092,7093468,6000
home_visit,True,1.0,0.01,0.0,8,5,6000,6873,20,3,8315,9995,14335,16871,8128827,6000
home_visit,True,1.0,0.01,0.0,9,5,6000,10077,20,7,8137,14966,14157,25050,8961186,6000
home_visit,True,1.0,0.01,0.0,10,5,6000,10910,20,4,8137,16578,14157,27492,9979044,6000
home_visit,False,1.0,0.01,0.0,1,5,6000,136,20,0,8137,292,14157,428,836917,6000
home_visit,False,1.0,0.01,0.0,2,5,6000,359,20,0,8315,696,14335,1055,1898410,6000
home_visit,False,1.0,0.01,0.0,3,5,6000,924,20,0,8151,1590,14171,2514,2872653,6000
home_visit,False,1.0,0.01,0.0,4,5,6000,1530,20,1,8315,2546,14335,4077,3966320,6000
home_visit,False,1.0,0.01,0.0,5,5,6000,2550,20,1,8067,4055,14087,6606,4827735,6000
home_visit,False,1.0,0.01,0.0,6,5,6000,3617,20,1,8137,5334,14157,8952,5911062,6000
home_visit,False,1.0,0.01,0.0,7,5,6000,5236,20,2,8104,8015,14124,13253,6896416,6000
home_visit,False,1.0,0.01,0.0,8,5,6000,5636,20,3,8067,8576,14087,14215,7869216,6000
home_visit,False,1.0,0.01,0.0,9,5,6000,8995,20,5,8067,13691,14087,22691,8858061,6000
home_visit,False,1.0,0.01,0.0,10,5,6000,10863,20,6,8067,15759,14087,26630,9855570,6000
home_visit,True,1.0,0.01,0.0,1,6,6000,115,20,2,8151,230,14171,347,859047,6000
home_visit,True,1.0,0.01,0.0,2,6,6000,323,20,4,8104,596,14124,923,1855842,6000
home_visit,True,1.0,0.01,0.0,3,6,6000,782,20,0,8315,1448,14335,2230,2953005,6000
home_visit,True,1.0,0.01,0.0,4,6,6000,1835,20,0,8315,3141,14335,4976,3977720,6000
home_visit,True,1.0,0.01,0.0,5,6,6000,2601,20,0,8315,4225,14335,6826,5020135,6000
home_visit,True,1.0,0.01,0.0,6,6,6000,4343,20,3,8331,6938,14351,11285,6079307,6000
home_visit,True,1.0,0.01,0.0,7,6,6000,5051,20,5,8331,7760,14351,12817,7134376,6000
